"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2011","Not geographically allocated","Business services: Operational leasing","Euro Million","464"
"Exports of Services","2011","Not geographically allocated","Business services: Legal, Accounting and other professional services","Euro Million","61"
"Exports of Services","2011","Not geographically allocated","Business services: Advertising and market research","Euro Million","1075"
"Exports of Services","2011","Not geographically allocated","Business services: Research and development","Euro Million","59"
"Exports of Services","2011","Not geographically allocated","Business services: Architectural engineering and other technical services","Euro Million","51"
"Exports of Services","2011","Not geographically allocated","Business services: Management services between affiliates","Euro Million","51"
"Exports of Services","2011","Not geographically allocated","Business services: Other","Euro Million","248"
"Exports of Services","2011","Not geographically allocated","Business services: Trade related services","Euro Million",""
"Exports of Services","2011","Not geographically allocated","Other services not elsewhere stated","Euro Million","105"
"Exports of Services","2011","Not geographically allocated","Repairs and processing","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Services total","Euro Million","81145"
"Exports of Services","2012","All countries and international organisations","Transport","Euro Million","4772"
"Exports of Services","2012","All countries and international organisations","Tourism and travel","Euro Million","3022"
"Exports of Services","2012","All countries and international organisations","Communications","Euro Million","569"
"Exports of Services","2012","All countries and international organisations","Insurance","Euro Million","8419"
"Exports of Services","2012","All countries and international organisations","Financial services","Euro Million","10094"
"Exports of Services","2012","All countries and international organisations","Computer services","Euro Million","31618"
"Exports of Services","2012","All countries and international organisations","Royalties/licences","Euro Million","3880"
"Exports of Services","2012","All countries and international organisations","All business services","Euro Million","15965"
"Exports of Services","2012","All countries and international organisations","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Business services: Operational leasing","Euro Million","7537"
"Exports of Services","2012","All countries and international organisations","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Business services: Research and development","Euro Million","766"
"Exports of Services","2012","All countries and international organisations","Business services: Architectural engineering and other technical services","Euro Million","288"
"Exports of Services","2012","All countries and international organisations","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","All countries and international organisations","Business services: Other","Euro Million","4961"
"Exports of Services","2012","All countries and international organisations","Business services: Trade related services","Euro Million","1924"
"Exports of Services","2012","All countries and international organisations","Other services not elsewhere stated","Euro Million","1498"
"Exports of Services","2012","All countries and international organisations","Repairs and processing","Euro Million","1311"
"Exports of Services","2012","All offshore centres","Services total","Euro Million","3023"
"Exports of Services","2012","All offshore centres","Transport","Euro Million","0"
"Exports of Services","2012","All offshore centres","Tourism and travel","Euro Million","0"
"Exports of Services","2012","All offshore centres","Communications","Euro Million",""
"Exports of Services","2012","All offshore centres","Insurance","Euro Million","411"
"Exports of Services","2012","All offshore centres","Financial services","Euro Million","714"
"Exports of Services","2012","All offshore centres","Computer services","Euro Million","282"
"Exports of Services","2012","All offshore centres","Royalties/licences","Euro Million",""
"Exports of Services","2012","All offshore centres","All business services","Euro Million","753"
"Exports of Services","2012","All offshore centres","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Operational leasing","Euro Million","356"
"Exports of Services","2012","All offshore centres","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Research and development","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","All offshore centres","Business services: Other","Euro Million","336"
"Exports of Services","2012","All offshore centres","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","All offshore centres","Other services not elsewhere stated","Euro Million","-499"
"Exports of Services","2012","All offshore centres","Repairs and processing","Euro Million",""
"Exports of Services","2012","International organisations","Services total","Euro Million",""
"Exports of Services","2012","International organisations","Transport","Euro Million","0"
"Exports of Services","2012","International organisations","Tourism and travel","Euro Million","0"
"Exports of Services","2012","International organisations","Communications","Euro Million",""
"Exports of Services","2012","International organisations","Insurance","Euro Million",""
"Exports of Services","2012","International organisations","Financial services","Euro Million",""
"Exports of Services","2012","International organisations","Computer services","Euro Million","0"
"Exports of Services","2012","International organisations","Royalties/licences","Euro Million","0"
"Exports of Services","2012","International organisations","All business services","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Operational leasing","Euro Million","0"
"Exports of Services","2012","International organisations","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","International organisations","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","International organisations","Business services: Research and development","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Other","Euro Million",""
"Exports of Services","2012","International organisations","Business services: Trade related services","Euro Million","0"
"Exports of Services","2012","International organisations","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","International organisations","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Argentina","Services total","Euro Million","82"
"Exports of Services","2012","Argentina","Transport","Euro Million","0"
"Exports of Services","2012","Argentina","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Argentina","Communications","Euro Million","0"
"Exports of Services","2012","Argentina","Insurance","Euro Million","16"
"Exports of Services","2012","Argentina","Financial services","Euro Million","41"
"Exports of Services","2012","Argentina","Computer services","Euro Million",""
"Exports of Services","2012","Argentina","Royalties/licences","Euro Million",""
"Exports of Services","2012","Argentina","All business services","Euro Million","16"
"Exports of Services","2012","Argentina","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Argentina","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Argentina","Business services: Operational leasing","Euro Million","14"
"Exports of Services","2012","Argentina","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Argentina","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Argentina","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Argentina","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2012","Argentina","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Argentina","Business services: Other","Euro Million","2"
"Exports of Services","2012","Argentina","Business services: Trade related services","Euro Million","0"
"Exports of Services","2012","Argentina","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Argentina","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Australia","Services total","Euro Million","1469"
"Exports of Services","2012","Australia","Transport","Euro Million","0"
"Exports of Services","2012","Australia","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Australia","Communications","Euro Million","0"
"Exports of Services","2012","Australia","Insurance","Euro Million","70"
"Exports of Services","2012","Australia","Financial services","Euro Million","43"
"Exports of Services","2012","Australia","Computer services","Euro Million",""
"Exports of Services","2012","Australia","Royalties/licences","Euro Million","101"
"Exports of Services","2012","Australia","All business services","Euro Million","109"
"Exports of Services","2012","Australia","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Australia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Australia","Business services: Operational leasing","Euro Million","72"
"Exports of Services","2012","Australia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Australia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","Australia","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Australia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Australia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Australia","Business services: Other","Euro Million","22"
"Exports of Services","2012","Australia","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Australia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Australia","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Belgium","Services total","Euro Million","1601"
"Exports of Services","2012","Belgium","Transport","Euro Million","151"
"Exports of Services","2012","Belgium","Tourism and travel","Euro Million","33"
"Exports of Services","2012","Belgium","Communications","Euro Million","0"
"Exports of Services","2012","Belgium","Insurance","Euro Million","62"
"Exports of Services","2012","Belgium","Financial services","Euro Million","268"
"Exports of Services","2012","Belgium","Computer services","Euro Million","579"
"Exports of Services","2012","Belgium","Royalties/licences","Euro Million",""
"Exports of Services","2012","Belgium","All business services","Euro Million","315"
"Exports of Services","2012","Belgium","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Operational leasing","Euro Million","44"
"Exports of Services","2012","Belgium","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Belgium","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Belgium","Business services: Other","Euro Million","185"
"Exports of Services","2012","Belgium","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Belgium","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Belgium","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Bermuda","Services total","Euro Million","890"
"Exports of Services","2012","Bermuda","Transport","Euro Million","0"
"Exports of Services","2012","Bermuda","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Bermuda","Communications","Euro Million",""
"Exports of Services","2012","Bermuda","Insurance","Euro Million","141"
"Exports of Services","2012","Bermuda","Financial services","Euro Million","90"
"Exports of Services","2012","Bermuda","Computer services","Euro Million",""
"Exports of Services","2012","Bermuda","Royalties/licences","Euro Million",""
"Exports of Services","2012","Bermuda","All business services","Euro Million","62"
"Exports of Services","2012","Bermuda","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Operational leasing","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Bermuda","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2012","Bermuda","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Bermuda","Business services: Other","Euro Million","24"
"Exports of Services","2012","Bermuda","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Bermuda","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Bermuda","Repairs and processing","Euro Million",""
"Exports of Services","2012","Brazil","Services total","Euro Million","340"
"Exports of Services","2012","Brazil","Transport","Euro Million","0"
"Exports of Services","2012","Brazil","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Brazil","Communications","Euro Million","0"
"Exports of Services","2012","Brazil","Insurance","Euro Million","17"
"Exports of Services","2012","Brazil","Financial services","Euro Million",""
"Exports of Services","2012","Brazil","Computer services","Euro Million","3109"
"Exports of Services","2012","Brazil","Royalties/licences","Euro Million","0"
"Exports of Services","2012","Brazil","All business services","Euro Million","157"
"Exports of Services","2012","Brazil","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Brazil","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Brazil","Business services: Operational leasing","Euro Million","151"
"Exports of Services","2012","Brazil","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Brazil","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Brazil","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Brazil","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Brazil","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Brazil","Business services: Other","Euro Million","603"
"Exports of Services","2012","Brazil","Business services: Trade related services","Euro Million","0"
"Exports of Services","2012","Brazil","Other services not elsewhere stated","Euro Million","-1678"
"Exports of Services","2012","Brazil","Repairs and processing","Euro Million",""
"Exports of Services","2012","Canada","Services total","Euro Million","1030"
"Exports of Services","2012","Canada","Transport","Euro Million","4"
"Exports of Services","2012","Canada","Tourism and travel","Euro Million","85"
"Exports of Services","2012","Canada","Communications","Euro Million","0"
"Exports of Services","2012","Canada","Insurance","Euro Million","205"
"Exports of Services","2012","Canada","Financial services","Euro Million","56"
"Exports of Services","2012","Canada","Computer services","Euro Million",""
"Exports of Services","2012","Canada","Royalties/licences","Euro Million",""
"Exports of Services","2012","Canada","All business services","Euro Million","145"
"Exports of Services","2012","Canada","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Canada","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Canada","Business services: Operational leasing","Euro Million","126"
"Exports of Services","2012","Canada","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Canada","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Canada","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Canada","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Canada","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Canada","Business services: Other","Euro Million","8"
"Exports of Services","2012","Canada","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Canada","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Canada","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Switzerland","Services total","Euro Million","2361"
"Exports of Services","2012","Switzerland","Transport","Euro Million","80"
"Exports of Services","2012","Switzerland","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Switzerland","Communications","Euro Million",""
"Exports of Services","2012","Switzerland","Insurance","Euro Million","61"
"Exports of Services","2012","Switzerland","Financial services","Euro Million","138"
"Exports of Services","2012","Switzerland","Computer services","Euro Million","1200"
"Exports of Services","2012","Switzerland","Royalties/licences","Euro Million",""
"Exports of Services","2012","Switzerland","All business services","Euro Million","352"
"Exports of Services","2012","Switzerland","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Operational leasing","Euro Million","74"
"Exports of Services","2012","Switzerland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Switzerland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Switzerland","Business services: Other","Euro Million","156"
"Exports of Services","2012","Switzerland","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Switzerland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Switzerland","Repairs and processing","Euro Million","232"
"Exports of Services","2012","Chile","Services total","Euro Million","89"
"Exports of Services","2012","Chile","Transport","Euro Million","0"
"Exports of Services","2012","Chile","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Chile","Communications","Euro Million",""
"Exports of Services","2012","Chile","Insurance","Euro Million","20"
"Exports of Services","2012","Chile","Financial services","Euro Million","4"
"Exports of Services","2012","Chile","Computer services","Euro Million",""
"Exports of Services","2012","Chile","Royalties/licences","Euro Million",""
"Exports of Services","2012","Chile","All business services","Euro Million","51"
"Exports of Services","2012","Chile","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Chile","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Chile","Business services: Operational leasing","Euro Million","49"
"Exports of Services","2012","Chile","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Chile","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Chile","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Chile","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Chile","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Chile","Business services: Other","Euro Million",""
"Exports of Services","2012","Chile","Business services: Trade related services","Euro Million","0"
"Exports of Services","2012","Chile","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Chile","Repairs and processing","Euro Million","0"
"Exports of Services","2012","China","Services total","Euro Million","2305"
"Exports of Services","2012","China","Transport","Euro Million","0"
"Exports of Services","2012","China","Tourism and travel","Euro Million","40"
"Exports of Services","2012","China","Communications","Euro Million","0"
"Exports of Services","2012","China","Insurance","Euro Million","13"
"Exports of Services","2012","China","Financial services","Euro Million",""
"Exports of Services","2012","China","Computer services","Euro Million",""
"Exports of Services","2012","China","Royalties/licences","Euro Million",""
"Exports of Services","2012","China","All business services","Euro Million","1178"
"Exports of Services","2012","China","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","China","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","China","Business services: Operational leasing","Euro Million","1039"
"Exports of Services","2012","China","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","China","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","China","Business services: Research and development","Euro Million",""
"Exports of Services","2012","China","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","China","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","China","Business services: Other","Euro Million","6"
"Exports of Services","2012","China","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","China","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","China","Repairs and processing","Euro Million",""
"Exports of Services","2012","Cyprus","Services total","Euro Million",""
"Exports of Services","2012","Cyprus","Transport","Euro Million","22"
"Exports of Services","2012","Cyprus","Tourism and travel","Euro Million","2"
"Exports of Services","2012","Cyprus","Communications","Euro Million","0"
"Exports of Services","2012","Cyprus","Insurance","Euro Million","10"
"Exports of Services","2012","Cyprus","Financial services","Euro Million",""
"Exports of Services","2012","Cyprus","Computer services","Euro Million","8"
"Exports of Services","2012","Cyprus","Royalties/licences","Euro Million","0"
"Exports of Services","2012","Cyprus","All business services","Euro Million","16"
"Exports of Services","2012","Cyprus","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Cyprus","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Cyprus","Business services: Operational leasing","Euro Million",""
"Exports of Services","2012","Cyprus","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Cyprus","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Cyprus","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Cyprus","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2012","Cyprus","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Cyprus","Business services: Other","Euro Million",""
"Exports of Services","2012","Cyprus","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Cyprus","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Cyprus","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Czech Republic","Services total","Euro Million","274"
"Exports of Services","2012","Czech Republic","Transport","Euro Million","28"
"Exports of Services","2012","Czech Republic","Tourism and travel","Euro Million","7"
"Exports of Services","2012","Czech Republic","Communications","Euro Million",""
"Exports of Services","2012","Czech Republic","Insurance","Euro Million","11"
"Exports of Services","2012","Czech Republic","Financial services","Euro Million","3"
"Exports of Services","2012","Czech Republic","Computer services","Euro Million",""
"Exports of Services","2012","Czech Republic","Royalties/licences","Euro Million","0"
"Exports of Services","2012","Czech Republic","All business services","Euro Million","44"
"Exports of Services","2012","Czech Republic","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Czech Republic","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Czech Republic","Business services: Operational leasing","Euro Million","38"
"Exports of Services","2012","Czech Republic","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Czech Republic","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Czech Republic","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Czech Republic","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Czech Republic","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Czech Republic","Business services: Other","Euro Million","0"
"Exports of Services","2012","Czech Republic","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Czech Republic","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Czech Republic","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Germany","Services total","Euro Million","9086"
"Exports of Services","2012","Germany","Transport","Euro Million","652"
"Exports of Services","2012","Germany","Tourism and travel","Euro Million","227"
"Exports of Services","2012","Germany","Communications","Euro Million","17"
"Exports of Services","2012","Germany","Insurance","Euro Million","629"
"Exports of Services","2012","Germany","Financial services","Euro Million","321"
"Exports of Services","2012","Germany","Computer services","Euro Million","5149"
"Exports of Services","2012","Germany","Royalties/licences","Euro Million",""
"Exports of Services","2012","Germany","All business services","Euro Million","1287"
"Exports of Services","2012","Germany","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Germany","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Germany","Business services: Operational leasing","Euro Million","386"
"Exports of Services","2012","Germany","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Germany","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","Germany","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Germany","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Germany","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Germany","Business services: Other","Euro Million","648"
"Exports of Services","2012","Germany","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Germany","Other services not elsewhere stated","Euro Million","736"
"Exports of Services","2012","Germany","Repairs and processing","Euro Million",""
"Exports of Services","2012","Denmark","Services total","Euro Million","1097"
"Exports of Services","2012","Denmark","Transport","Euro Million","65"
"Exports of Services","2012","Denmark","Tourism and travel","Euro Million","54"
"Exports of Services","2012","Denmark","Communications","Euro Million","0"
"Exports of Services","2012","Denmark","Insurance","Euro Million","127"
"Exports of Services","2012","Denmark","Financial services","Euro Million","16"
"Exports of Services","2012","Denmark","Computer services","Euro Million","655"
"Exports of Services","2012","Denmark","Royalties/licences","Euro Million",""
"Exports of Services","2012","Denmark","All business services","Euro Million","78"
"Exports of Services","2012","Denmark","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Operational leasing","Euro Million","36"
"Exports of Services","2012","Denmark","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Denmark","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Denmark","Business services: Other","Euro Million","24"
"Exports of Services","2012","Denmark","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Denmark","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Denmark","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Estonia","Services total","Euro Million","21"
"Exports of Services","2012","Estonia","Transport","Euro Million","5"
"Exports of Services","2012","Estonia","Tourism and travel","Euro Million","2"
"Exports of Services","2012","Estonia","Communications","Euro Million","0"
"Exports of Services","2012","Estonia","Insurance","Euro Million","0"
"Exports of Services","2012","Estonia","Financial services","Euro Million","0"
"Exports of Services","2012","Estonia","Computer services","Euro Million",""
"Exports of Services","2012","Estonia","Royalties/licences","Euro Million",""
"Exports of Services","2012","Estonia","All business services","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Estonia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Estonia","Business services: Operational leasing","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Estonia","Business services: Other","Euro Million","0"
"Exports of Services","2012","Estonia","Business services: Trade related services","Euro Million","0"
"Exports of Services","2012","Estonia","Other services not elsewhere stated","Euro Million","5"
"Exports of Services","2012","Estonia","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Egypt","Services total","Euro Million","278"
"Exports of Services","2012","Egypt","Transport","Euro Million","0"
"Exports of Services","2012","Egypt","Tourism and travel","Euro Million","0"
"Exports of Services","2012","Egypt","Communications","Euro Million","0"
"Exports of Services","2012","Egypt","Insurance","Euro Million","11"
"Exports of Services","2012","Egypt","Financial services","Euro Million",""
"Exports of Services","2012","Egypt","Computer services","Euro Million",""
"Exports of Services","2012","Egypt","Royalties/licences","Euro Million","0"
"Exports of Services","2012","Egypt","All business services","Euro Million",""
"Exports of Services","2012","Egypt","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Egypt","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Egypt","Business services: Operational leasing","Euro Million","17"
"Exports of Services","2012","Egypt","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Egypt","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Egypt","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Egypt","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2012","Egypt","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Egypt","Business services: Other","Euro Million",""
"Exports of Services","2012","Egypt","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Egypt","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Egypt","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Spain","Services total","Euro Million","2188"
"Exports of Services","2012","Spain","Transport","Euro Million","230"
"Exports of Services","2012","Spain","Tourism and travel","Euro Million","181"
"Exports of Services","2012","Spain","Communications","Euro Million",""
"Exports of Services","2012","Spain","Insurance","Euro Million","128"
"Exports of Services","2012","Spain","Financial services","Euro Million","112"
"Exports of Services","2012","Spain","Computer services","Euro Million",""
"Exports of Services","2012","Spain","Royalties/licences","Euro Million",""
"Exports of Services","2012","Spain","All business services","Euro Million","506"
"Exports of Services","2012","Spain","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Spain","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Spain","Business services: Operational leasing","Euro Million","169"
"Exports of Services","2012","Spain","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","Spain","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Spain","Business services: Research and development","Euro Million",""
"Exports of Services","2012","Spain","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Spain","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Spain","Business services: Other","Euro Million",""
"Exports of Services","2012","Spain","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","Spain","Other services not elsewhere stated","Euro Million","112"
"Exports of Services","2012","Spain","Repairs and processing","Euro Million","0"
"Exports of Services","2012","Finland","Services total","Euro Million","770"
"Exports of Services","2012","Finland","Transport","Euro Million","42"
"Exports of Services","2012","Finland","Tourism and travel","Euro Million","8"
"Exports of Services","2012","Finland","Communications","Euro Million",""
