"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2003","Belgium","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Other","Euro Million",""
"Exports of Services","2003","Belgium","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Belgium","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Belgium","Repairs and processing","Euro Million",""
"Exports of Services","2003","Bermuda","Services total","Euro Million",""
"Exports of Services","2003","Bermuda","Transport","Euro Million",""
"Exports of Services","2003","Bermuda","Tourism and travel","Euro Million",""
"Exports of Services","2003","Bermuda","Communications","Euro Million",""
"Exports of Services","2003","Bermuda","Insurance","Euro Million",""
"Exports of Services","2003","Bermuda","Financial services","Euro Million",""
"Exports of Services","2003","Bermuda","Computer services","Euro Million",""
"Exports of Services","2003","Bermuda","Royalties/licences","Euro Million",""
"Exports of Services","2003","Bermuda","All business services","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Other","Euro Million",""
"Exports of Services","2003","Bermuda","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Bermuda","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Bermuda","Repairs and processing","Euro Million",""
"Exports of Services","2003","Brazil","Services total","Euro Million",""
"Exports of Services","2003","Brazil","Transport","Euro Million",""
"Exports of Services","2003","Brazil","Tourism and travel","Euro Million",""
"Exports of Services","2003","Brazil","Communications","Euro Million",""
"Exports of Services","2003","Brazil","Insurance","Euro Million",""
"Exports of Services","2003","Brazil","Financial services","Euro Million",""
"Exports of Services","2003","Brazil","Computer services","Euro Million",""
"Exports of Services","2003","Brazil","Royalties/licences","Euro Million",""
"Exports of Services","2003","Brazil","All business services","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Other","Euro Million",""
"Exports of Services","2003","Brazil","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Brazil","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Brazil","Repairs and processing","Euro Million",""
"Exports of Services","2003","Canada","Services total","Euro Million","234"
"Exports of Services","2003","Canada","Transport","Euro Million","9"
"Exports of Services","2003","Canada","Tourism and travel","Euro Million","69"
"Exports of Services","2003","Canada","Communications","Euro Million",""
"Exports of Services","2003","Canada","Insurance","Euro Million","77"
"Exports of Services","2003","Canada","Financial services","Euro Million","44"
"Exports of Services","2003","Canada","Computer services","Euro Million",""
"Exports of Services","2003","Canada","Royalties/licences","Euro Million","0"
"Exports of Services","2003","Canada","All business services","Euro Million","31"
"Exports of Services","2003","Canada","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Canada","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Canada","Business services: Operational leasing","Euro Million","12"
"Exports of Services","2003","Canada","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Canada","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Canada","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Canada","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Canada","Business services: Management services between affiliates","Euro Million","0"
"Exports of Services","2003","Canada","Business services: Other","Euro Million","2"
"Exports of Services","2003","Canada","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Canada","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2003","Canada","Repairs and processing","Euro Million",""
"Exports of Services","2003","Switzerland","Services total","Euro Million",""
"Exports of Services","2003","Switzerland","Transport","Euro Million",""
"Exports of Services","2003","Switzerland","Tourism and travel","Euro Million",""
"Exports of Services","2003","Switzerland","Communications","Euro Million",""
"Exports of Services","2003","Switzerland","Insurance","Euro Million",""
"Exports of Services","2003","Switzerland","Financial services","Euro Million",""
"Exports of Services","2003","Switzerland","Computer services","Euro Million",""
"Exports of Services","2003","Switzerland","Royalties/licences","Euro Million",""
"Exports of Services","2003","Switzerland","All business services","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Other","Euro Million",""
"Exports of Services","2003","Switzerland","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Switzerland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Switzerland","Repairs and processing","Euro Million",""
"Exports of Services","2003","Chile","Services total","Euro Million",""
"Exports of Services","2003","Chile","Transport","Euro Million",""
"Exports of Services","2003","Chile","Tourism and travel","Euro Million",""
"Exports of Services","2003","Chile","Communications","Euro Million",""
"Exports of Services","2003","Chile","Insurance","Euro Million",""
"Exports of Services","2003","Chile","Financial services","Euro Million",""
"Exports of Services","2003","Chile","Computer services","Euro Million",""
"Exports of Services","2003","Chile","Royalties/licences","Euro Million",""
"Exports of Services","2003","Chile","All business services","Euro Million",""
"Exports of Services","2003","Chile","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Chile","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Chile","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Chile","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Chile","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Chile","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Chile","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Chile","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Chile","Business services: Other","Euro Million",""
"Exports of Services","2003","Chile","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Chile","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Chile","Repairs and processing","Euro Million",""
"Exports of Services","2003","China","Services total","Euro Million",""
"Exports of Services","2003","China","Transport","Euro Million",""
"Exports of Services","2003","China","Tourism and travel","Euro Million",""
"Exports of Services","2003","China","Communications","Euro Million",""
"Exports of Services","2003","China","Insurance","Euro Million",""
"Exports of Services","2003","China","Financial services","Euro Million",""
"Exports of Services","2003","China","Computer services","Euro Million",""
"Exports of Services","2003","China","Royalties/licences","Euro Million",""
"Exports of Services","2003","China","All business services","Euro Million",""
"Exports of Services","2003","China","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","China","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","China","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","China","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","China","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","China","Business services: Research and development","Euro Million",""
"Exports of Services","2003","China","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","China","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","China","Business services: Other","Euro Million",""
"Exports of Services","2003","China","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","China","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","China","Repairs and processing","Euro Million",""
"Exports of Services","2003","Cyprus","Services total","Euro Million",""
"Exports of Services","2003","Cyprus","Transport","Euro Million",""
"Exports of Services","2003","Cyprus","Tourism and travel","Euro Million",""
"Exports of Services","2003","Cyprus","Communications","Euro Million",""
"Exports of Services","2003","Cyprus","Insurance","Euro Million",""
"Exports of Services","2003","Cyprus","Financial services","Euro Million",""
"Exports of Services","2003","Cyprus","Computer services","Euro Million",""
"Exports of Services","2003","Cyprus","Royalties/licences","Euro Million",""
"Exports of Services","2003","Cyprus","All business services","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Other","Euro Million",""
"Exports of Services","2003","Cyprus","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Cyprus","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Cyprus","Repairs and processing","Euro Million",""
"Exports of Services","2003","Czech Republic","Services total","Euro Million",""
"Exports of Services","2003","Czech Republic","Transport","Euro Million",""
"Exports of Services","2003","Czech Republic","Tourism and travel","Euro Million",""
"Exports of Services","2003","Czech Republic","Communications","Euro Million",""
"Exports of Services","2003","Czech Republic","Insurance","Euro Million",""
"Exports of Services","2003","Czech Republic","Financial services","Euro Million",""
"Exports of Services","2003","Czech Republic","Computer services","Euro Million",""
"Exports of Services","2003","Czech Republic","Royalties/licences","Euro Million",""
"Exports of Services","2003","Czech Republic","All business services","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Other","Euro Million",""
"Exports of Services","2003","Czech Republic","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Czech Republic","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Czech Republic","Repairs and processing","Euro Million",""
"Exports of Services","2003","Germany","Services total","Euro Million","3480"
"Exports of Services","2003","Germany","Transport","Euro Million","74"
"Exports of Services","2003","Germany","Tourism and travel","Euro Million","161"
"Exports of Services","2003","Germany","Communications","Euro Million","74"
"Exports of Services","2003","Germany","Insurance","Euro Million","1064"
"Exports of Services","2003","Germany","Financial services","Euro Million","105"
"Exports of Services","2003","Germany","Computer services","Euro Million","1605"
"Exports of Services","2003","Germany","Royalties/licences","Euro Million","4"
"Exports of Services","2003","Germany","All business services","Euro Million","284"
"Exports of Services","2003","Germany","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Germany","Business services: Other Trade related services","Euro Million","49"
"Exports of Services","2003","Germany","Business services: Operational leasing","Euro Million","114"
"Exports of Services","2003","Germany","Business services: Legal, Accounting and other professional services","Euro Million","5"
"Exports of Services","2003","Germany","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Germany","Business services: Research and development","Euro Million","0"
"Exports of Services","2003","Germany","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Germany","Business services: Management services between affiliates","Euro Million","13"
"Exports of Services","2003","Germany","Business services: Other","Euro Million","61"
"Exports of Services","2003","Germany","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Germany","Other services not elsewhere stated","Euro Million","110"
"Exports of Services","2003","Germany","Repairs and processing","Euro Million",""
"Exports of Services","2003","Denmark","Services total","Euro Million",""
"Exports of Services","2003","Denmark","Transport","Euro Million",""
"Exports of Services","2003","Denmark","Tourism and travel","Euro Million",""
"Exports of Services","2003","Denmark","Communications","Euro Million",""
"Exports of Services","2003","Denmark","Insurance","Euro Million",""
"Exports of Services","2003","Denmark","Financial services","Euro Million",""
"Exports of Services","2003","Denmark","Computer services","Euro Million",""
"Exports of Services","2003","Denmark","Royalties/licences","Euro Million",""
"Exports of Services","2003","Denmark","All business services","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Other","Euro Million",""
"Exports of Services","2003","Denmark","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Denmark","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Denmark","Repairs and processing","Euro Million",""
"Exports of Services","2003","Estonia","Services total","Euro Million",""
"Exports of Services","2003","Estonia","Transport","Euro Million",""
"Exports of Services","2003","Estonia","Tourism and travel","Euro Million",""
"Exports of Services","2003","Estonia","Communications","Euro Million",""
"Exports of Services","2003","Estonia","Insurance","Euro Million",""
"Exports of Services","2003","Estonia","Financial services","Euro Million",""
"Exports of Services","2003","Estonia","Computer services","Euro Million",""
"Exports of Services","2003","Estonia","Royalties/licences","Euro Million",""
"Exports of Services","2003","Estonia","All business services","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Operational leasing","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Research and development","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Other","Euro Million",""
"Exports of Services","2003","Estonia","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","Estonia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Estonia","Repairs and processing","Euro Million",""
"Exports of Services","2003","Egypt","Services total","Euro Million",""
"Exports of Services","2003","Egypt","Transport","Euro Million",""
"Exports of Services","2003","Egypt","Tourism and travel","Euro Million",""
"Exports of Services","2003","Egypt","Communications","Euro Million",""
"Exports of Services","2003","Egypt","Insurance","Euro Million",""
"Exports of Services","2003","Egypt","Financial services","Euro Million",""
"Exports of Services","2003","Egypt","Computer services","Euro Million",""
